Adószám,Szervezet neve,Székhely,Új kategória (legalsó szint),Szülő kategória,Cél (első 200 karakter)
18190931,Pressley Ridge Magyarország Alapítvány,"1142 Budapest, Alsóőr utca 9/b.",gyermekvédelem,szociális segítségnyújtás,"A Pressley Ridge Magyarország Alapítvány célja a súlyosan problémás fiatalok és családjaik segítése, a problémás viselkedésű gyerekek és fiatalok beilleszkedésének, teljesítményének javítása innovatív"
18191255,EV-sport Magyarország Autósport Egyesület,"1164 Budapest, Batthyány Ilona utca 26.",sportklubok,sport és szabadidő,"Az alternatív és/vagy elektromos meghajtású járművek, technológiák népszerűsítése az autóverseny sport segítségével."
18191262,Támasz - Pont Alapítvány,"1178 Budapest, Háromdombos utca 31.",fogyatékkal élők segítése,szociális segítségnyújtás,"Értelmileg sérült, önmagukat alapvetően ellátni tudó, állandó orvosi felügyeletre nem szoruló, 18 év feletti fiatalok elhelyezése céljából bentlakásos, illetve átmeneti elhelyezésre szolgáló lakóottho"
18191530,Bét Orim Progresszív Zsidó Egyesület,"1065 Budapest, Révay utca 16.",egyházhoz kötődő szociális szervezetek,szociális segítségnyújtás,"A zsidó hagyományok tanulása és ápolása, karitatív tevékenység folytatása."
18191585,"""Bogáncs"" Alapítvány a környezettudatos gondolkodás terjesztéséért és védelméért Közhasznú Alapítvány","2161 Csomád, Táncsics Mihály utca 20.",környezet- és természetvédelem,környezet- és állatvédelem,"Az alapítvány elsődleges célja, hogy lehetőséget teremtssen a felnövekvő generációk és az érdeklődő felnőtt társadalmi csoportok, egyének számára a természeti környezet tanulmányozására, a fenntarthat"
18191822,Magyar Tehetségsegítő Szervezetek Szövetsége,"1118 Budapest, Budaörsi út 119/B.",egyéb oktatási szervezetek,oktatás,"Az egyesület állandó lehetőséget ad arra, hogy a magyarországi és határon túli magyar tehetségsegítéssel foglalkozó szervezetek egyeztessék álláspontjukat, hazai és külföldi példák tanulmányozásával, "
18191970,Zöldsport Egyesület,"1103 Budapest, Kőér utca 2/c",kerékpáros szervezetek,sport és szabadidő,"A szabadidősport, elsősorban a természetjárás, gyalogos, kerékpáros, vízi és magashegyi túrák, kirándulások, hegymászás, tájékozódási túraversenyek szervezése, oktatása és ezek révén az egészséges éle"
18192098,Rákospalota-Pestújhely-Újpalota Egészségvédelmi Közalapítvány,"1152 Budapest, Rákos utca 77/ a.",egyéb felnőtt egészségügy,felnőtt egészségügy,Az alapítvány célja az alapító okiratban foglaltak szerint az egészségügyről szóló 1997. évi CLVI. tv. 152-153. §-ában az alapító részére meghatározott egyes egészségmegőrző és betegségmegelőző önkorm
18192249,PATENT Patriarchátust Ellenzők Társasága Jogvédő Egyesület,"1024 Budapest, Forint utca 10.",nőjogi szervezetek,emberi jogok és civil társadalom,"A nőket, a szexuális kisebbségekhez tartozókat és a gyerekeket érő erőszak megelőzése, illetve az erőszak áldozatainak támogatása, e társadalmi csoportok társadalmi esélyegyenlőségének előmozdítása."
18192328,Ritka és Veleszületett Rendellenességgel Élők Országos Szövetsége,"1089 Budapest, Orczy út 2.",egyéb gyermek egészségügy,gyermek egészségügy,"A szervezet új célja: A Szövetség célja összefoglalóan a ritka és veleszületett rendellenességgel élő gyermekek, felnőttek és családjaik érdekérvényesítése. a) Egyenjogú és teljes körű társadalmi beil"
18192397,Puskás Tivadar Híradó Bajtársainkért Alapítvány,"1143 Budapest, Stefánia út 34.",egyéb kulturális szervezetek,kultúra és művészet,"A híradó szolgálat fejlődését, történetét, a magyar történelem kimagasló, meghatározó eseményeit feldolgozó tanulmányok kidolgozásának segítése, azok kiadásának, terítésének biztosítása."
18192720,ALFAVIT Oktatási és Kulturális Közhasznú Alapítvány,"1067 Budapest, Csengery utca 68. 4.em.",egyéb oktatási szervezetek,oktatás,"Az orosz nyelv tanítása, a magyarországi orosz nyelvtanulás ösztönzése, népszerűsítése, a magyar nyelv tanítása a Magyarországon letelepedett vagy letelepedni kívánó orosz anyanyelvűek részére, az oro"
18192744,Transparency International Magyarország Alapítvány,"1055 Budapest, Falk Miksa utca 30. IV./2.",demokrácia és átláthatóság,emberi jogok és civil társadalom,"A Transparency Internationál nemzetközi nem-kormányzati szervezet értékei mentén működve, a korrupciós problémák feltérképezése a Magyar Köztársaság területén, megoldási javaslatok megfogalmazása, a n"
18192782,Sárkány Diáksport Egyesület,"1173 Budapest, Összefogás utca 20.",sportklubok,sport és szabadidő,"sakk sportban utánpótlás nevelés, versenyeztetés."
18192823,Budapesti Orvostanhallgatók Egyesülete,"1085 Budapest, Üllői út 22. II. emelet/207.",felsőoktatás,oktatás,"Hozzájárulni széles látókörű, modern szemléletű, értékes hazai és nemzetközi tapasztalatokkal rendelkező orvosok képzéséhez a magyar egészségügy színvonalának emelése érdekében; szoros kapcsolatot kié"
18193068,Mákvirág Óvodáért Alapítvány,"1173 Budapest, Újlak utca 108.",óvodák,oktatás,"A Mákvirág Óvodában folyó nevelő és oktató munka folyamatos fejlesztése; a Mákvirág Óvodába járó gyerekek képességeinek fejlesztése, a szükséges ismeretek elsajátitásához segítés nyújtása; a gyermekek"
18193288,K-Monitor Közhasznú Egyesület,"1077 Budapest, Rózsa utca 8 I./12.",demokrácia és átláthatóság,emberi jogok és civil társadalom,"Egy korrupció-kutató civil fórum megteremtése, amely nyilvánosságot ad magyarországi és nemzetközi tudományos korrupciós kutatásoknak, közérdek védelmében jogi úton fellép, érdekérvényesítést végez, é"
18194210,PERFECT FIGHT CLUB Közhasznú Egyesület,"1162 Budapest, Cserkút utca 47/A.",sportklubok,sport és szabadidő,"Az egyesület fő célja a sporttevékenység – különösen a muaythai verseny- és szabadidős formáinak – szervezése, valamint a sporttevékenység feltételeinek megteremtése."
18194502,Afázia - Az Újrabeszélők Egyesülete,"1075 Budapest, Rumbach Sebestyén utca 12. B. VI./2.",beteg emberek lelki és szociális támogatása,szociális segítségnyújtás,"Az egyesület működési célja az afáziás betegek, azok családtagjai, valamint segítőik megfelelő szakmai érdekvédelemben részesüljenek; tájékoztatást és tanácsokat adjon a tagoknak az afáziából eredő pr"
18194526,"Panelkutya Állatbarát-, Sport-, és Szabadidős Egyesület","1144 Budapest, Csertő utca 18-20. 7. em./174.",kutyák,környezet- és állatvédelem,"Az Egyesület tevékenységével, a kisállattartók egyesületbe szervezésével szeretnénk elérni, hogy a lakótelepen élő kedvtelésből tartott állatok megfelelő ellátására, foglalkoztatására, valamint a lakó"
18194698,Cinkotai Huncutka Óvoda Alapítvány,"1164 Budapest, Ostoros utca 6.",óvodák,oktatás,Az óvoda nevelő-oktatási munkájának korszerűbbé tételéhez a tárgyi és a személyi feltételek biztosítása.
18195008,"""A jó életminőségért"" Alapítvány","1077 Budapest, Wesselényi utca 66.",egyéb felnőtt egészségügy,felnőtt egészségügy,"Egészséges életmódra nevelés, jog- és áldozatvédelem, nemzeti öntudat erősítése."
18195376,"""ÁLLAT ÉS EMBER"" Állat- és Természetvédő, Kulturális és Szabadidő Egyesület","1151 Budapest, Pisztráng utca 3.",kutyák,környezet- és állatvédelem,"- az állatvédelem és természetvédelem a kutyák védelme és jólétének javítása útján; - állatvédelem és természetvédelem területén felvilágosító és oktató tevékenység végzése; - környezetvédelem, az ifj"
18195383,Onko-Hematológiai Betegekért Alapítvány,"1083 Budapest, Korányi Sándor utca 2/a.",daganatos betegek gyógyítása,felnőtt egészségügy,"Kutatás, fejlesztés, oktatás a széleskörű hematológiai tudomány körébe tartozó betegek gyógyítása, ellátásuk szakmai színvonalának emelése érdekében és elősegítésére."
18195503,BOHÓCHAL Egyesület az Egészséges Gyermekekért,"1163 Budapest, Bányai Elemér utca 12.",egyéb oktatási szervezetek,oktatás,"A hazai és a határainkon kívül élő magyar és nem magyar állampolgárok gyermekeinek úszás oktatásán keresztül az egészséges életre nevelés. Ennek érdekében a gyermekek óvodai és iskolai úszó, vízilabda"
18195998,Keresztúri Református Misszió Alapítvány,"1173 Budapest, Pesti út 31.",vallási szervezetek,kultúra és művészet,"a Budapesten, Rákoskeresztúron élők támogatása a helyi református gyülekezeti hitélet gyakorlásában, annak lelki és anyagi hátterének biztosításával."
18196061,Német Juhászkutya Fajtamentés Alapítvány,"1188 Budapest, Ady Endre utca 177.",kutyák,környezet- és állatvédelem,"A gazdátlan fajtiszta német juhászkutyák mentése, a kutyák ideiglenes elhelyezése, egészségügyi, higiéniás, mentális rehabilitációja, a gazdakeresés elősegítése. A felelős állattartás népszerűsítése."
18196133,Életünk a Mozgás Alapítvány,"3069 Alsótold, Nefelejcs utca 6.",egyéb felnőtt egészségügy,felnőtt egészségügy,"Az Alapítvány célja kortól és nemtől függetlenül, minden ember egészségének javítása a mozgás segítségével. Ismeretterjesztés az egészségmegőrzés, egészséges életmód, a lakossági sport, munkahelyi spo"
18196384,Vigyél Haza Alapítvány,"1174 Budapest, Ady Endre utca 12.",kutyák,környezet- és állatvédelem,"A Telepre bekerült kutyák gazdához jutási esélyének növelése érdekében az állategészségügyi ellátás színvonalának emelése, a tartási körülmények további javítása. Ehhez szükséges: - gyógyszerek, oltóa"
18196755,Magyar Malakológiai Társaság,"1143 Budapest, Stefánia út 14.",tudományos kutatás,oktatás,A magyar malakológusok és a malakológia iránt érdeklődők szervezeti összefogása; a hazai malakológiai eredmények és más tudományok malakológiával kapcsolatos eredményeinek népszerűsítése; a malakológi
18196762,A korszerű szülészetért és nőgyógyászatért Alapítvány,"1137 Budapest, Szent István körút 18. fszt./3.",női egészségügy,felnőtt egészségügy,"""A szülészet, a nőgyógyászat, az újszülött gyógyászat és a klinikai genetika művelésének és fejlesztésének támogatása és elősegítése a gyógyítás, a tudomány és az oktatás területén."""
18196913,Magyar Református Szeretetszolgálat Alapítvány,"1045 Budapest, Istvántelki út 8.",egyházhoz kötődő szociális szervezetek,szociális segítségnyújtás,a rászoruló emberek megsegítése.
18197048,Tüdőér Egylet,"1146 Budapest, Cházár András utca 19.",egyéb felnőtt egészségügy,felnőtt egészségügy,"a pulmonalis hypertoniában szenvedő betegek érdekképviselete, számukra felvilágosítás nyújtása, szociális és egészségügyi ellátásukhoz segítség adása, a betegségekkel kapcsolatos ismeretek terjesztése"
18197086,Magyar Bullterrier Baráti Társaság Fajtamentő Egyesület,"1145 Budapest, Szugló utca 125/d. D. ép. A. lp.",kutyák,környezet- és állatvédelem,"A Magyarországon lévő Angol Bullterrierek mentése, rehabilitációja, országos fajtaismertető napok, találkozók szervezése."
18197141,Perinatus Alapítvány a születés testi-lelki egészségéért,"1061 Budapest, Hegedű utca 9.",tudományos kutatás,oktatás,"A születés lelki hatását feltáró és vizsgáló kutatások, tanulmányok, megfigyelések és általában véve tudományos munkák katalizálása és támogatása."
18198252,Juventus Club Hungary,"1141 Budapest, Mogyoródi út 148 I/4.",sportklubok,sport és szabadidő,összefogni a magyarországi Juventus szurkolóit
18198410,AKELA Kutyás Sport Egyesület,"1158 Budapest, Pörge utca 82.",kutyák,környezet- és állatvédelem,"A rendszeres és rendezett körülmények közötti kutyás sportok támogatása, kutyasport oktatás, továbbá kutyakiképzéssel kapcsolatos ismeretek átadása, a gazdák és a kutyák gyakorlati és elméleti képzése"
18198427,"""EX LIBRIS"" Könyvtári Alapítvány","1062 Budapest, Bajza utca 18.",egyéb kulturális szervezetek,kultúra és művészet,"Jelen Alapítvány célja, hogy könyvtárat működtessen, könyvtári szakmai szolgáltatást nyújtson. A könyvkultúra ápolása, munkahelyi és nyilvános könyvtári szolgáltatások nyújtása, valamint kulturális is"
18198898,Nemzeti Zenede Alapítvány,"1065 Budapest, Nagymező utca 1.",művészeti szervezetek,kultúra és művészet,"Az alapítvány tartós közérdekű célja: A Bartók Béla Zeneművészeti Szakközépiskola és Gimnáziumban folyó képzés, a tehetséggondozás, továbbá az intézmény hatékony működéséhez szükséges feltételek minél"
18198915,"""Ideggyógyászat jövőjéért"" Alapítvány","1083 Budapest, Balassa utca 6.",egyéb felnőtt egészségügy,felnőtt egészségügy,"Az alapító szándéka szerint a neurológiai betegségek megelőzésének, gyógyításának, rehabilitációjának, valamint az idegtudományok kutatásának és oktatásának elősegítése, támogatása."
18198939,MAC Budapest Jégkorong Akadémia Egyesület,"1123 Budapest, Alkotás utca 53.",sportklubok,sport és szabadidő,"""Az egyesület tagjai részére biztosítja a rendszeres testedzés és sportolás lehetőségét versenyszerű körülmények között, ápolja és fejleszti a hazai és nemzetközi sportkapcsolatot."""
18199277,A Soproni Mozdonyvezetőkért Alapítvány,"1145 Budapest, Bácskai utca 11.",rászorulók segítése,szociális segítségnyújtás,"a soproni mozdonyvezetők szociális és egészségügyi helyzetének, életvitelének, életminőségének javítása. A mozsonyvezetői munkavégzés és életmód egészségkárosító hatásai következményeinek csökkentése."
18199284,Civil Zugló Egyesület,"1145 Budapest, Gyarmat utca 6. 2./5.",települési és közösségfejlesztés,szociális segítségnyújtás,"Általános célok: - Zugló városrész hosszú távú fejlődésének elősegítése, értékeinek megóvása, a városrész fejlődésének figyelemmel kísérése, élhetőbb, emberközelibb élettér megteremtése, az ehhez szük"
18199497,Táplálékallergiás Gyermekeket Táboroztató Egyesület,"1106 Budapest, Gépmadár utca 14. II./7.",egyéb gyermek egészségügy,gyermek egészségügy,táplálékallergiában szenvedő gyermekek és hozzátartozóik segítése.
18199789,Ördögkatlan Fesztivál Egyesület,"1122 Budapest, Városmajor utca 27/a. fszt./1.",művészeti szervezetek,kultúra és művészet,- egy évente megvalósuló összművészeti fesztivál megrendezése az egyesület működési területébe eső településeken; - a fesztivál térségében tartalmas és értékes kulturális programok szervezése; - az eg
18199954,Játszókert Alapítvány,"1161 Budapest, Baross utca 141.",óvodák,oktatás,"A Játszókert Óvodában nevelési, oktatási, képességfejlesztési, ismeretterjesztési tevékenység, kulturális tevékenység végzése, az ehhez szükséges feltételrendszer megteremtése."
18200267,A Földgömb az Expedíciós Kutatásért Alapítvány,"1142 Budapest, Erzsébet királyné útja 125.",tudományos kutatás,oktatás,"A magyar feltáró expedíciós tevékenység segítése, alapjainak, hátterének erősítése; az expedíciós kutatómunka elismertségének növelése: publikációs támogatással, fotópályázatokkal, kiállításokkal, elő"
18200274,"""Első lépés"" alapítvány a Zuglói bölcsődésekért","2141 Csömör, Laki utca 13. 3. ajtó",óvodák,oktatás,"Budapest XIV. kerületi bölcsődék a rájuk bízott és általuk gondozott gyerekeket egészséges életmódra, hagyomány tiszteletre neveljék. Javítsa a bölcsődékben a nevelési-gondozási munka tárgyi és személ"
18200346,Pöttöm Park Alapítvány,"1144 Budapest, Újváros park 1.",óvodák,oktatás,"- A Budapest XIV.kerület Újváros park 1. szám alatti Pöttöm Park Óvoda nevelőtestülete és a szülők közösen az Óvoda nevelőmunkájának eredményesebbé, színvonalasabbá tétele. 2. Az alapítvány céljainak "
18200470,"Smaragdcipő Alapítvány a Hagyományos, Modern és Kortárs Ír Tánckultúráért","1161 Budapest, Nádor utca 47.",művészeti szervezetek,kultúra és művészet,"A hagyományos, modern és kortárs ír tánc, valamint ír zene népszerűsítése."
18200755,Kertvárosi Sport Egylet,"1165 Budapest, Géza utca 37.",sportklubok,sport és szabadidő,"1)Az egyesület egyik fő feladata Budapest főváros területén és környékén a hagyományok és testkultúra megőrzése, ápolása, továbbvitele. 2)Szervezi és koordinálja az ezzel összefüggő lakossági és saját"
18201505,Magyar Prevenciós Alapítvány,"1134 Budapest, Váci út 47/B. Ü-1.",mentális egészség és szenvedélybetegségek,szociális segítségnyújtás,"Pozitív mintákon, felvilágosító anyagokon és képzéseken keresztülösztönözze az egyéni, családi és társadalmi problémák ( pl. drog- és mértéktelen alkoholfogyasztás, cigarettázás, tanulási- és kommunik"
18201653,Brózik Tibor Taksonyi Diáksport Egyesület,"2335 Taksony, Iskola utca 3.",sportklubok,sport és szabadidő,"A Taksony Vezér Német Nemzetiségi Általános Iskola nevelő-oktató munkájával összhangban, az egyesület tagjainak rendszeres helyi, intézményen belüli, intézmények közötti és szakszövetségek által kiírt"
18202568,Bolyky Tamás Általános Iskola Diákjaiért Alapítvány,"3600 Ózd, Bolyky Tamás út 42.",általános iskolák,oktatás,"Az alapítvány támogatni kívánja az ózdi Bolyky Tamás Általános Iskola közösségét az iskola költségvetéséből nem, vagy nehezen finanszírozható olyan hozzájárulásokkal, amely elősegíti a tanulók személy"
18202623,A Sóskúti Iskola Diákjaiért Alapítvány,"2038 Sóskút, Tulipán utca 9.",általános iskolák,oktatás,"A gyerekek szabadidős tevékenységéhez, alkotó munkájához szükséges eszközök biztosítása, a tárgyi feltételek javítása, korszerűsítése (pl. játszó- és sportudvar). Szakmai tanulmányutak, kulturális, ta"
18202692,Tarjáni Szent Flórián Tűzoltó Egyesület,"2831 Tarján, RÁKÓCZI utca 32.",tűzoltó egyesületek,katasztrófavédelem és közbiztonság,"Tűzmegelőzési, valamint tűzoltási és műszaki mentési feladatok ellátásában való közreműködés Tarján község területén."
18202726,Testvériség HDC Hungary Egyesület,"4516 Demecser, Székelyi utca 15. (3289/5.hrsz.)",sportklubok,sport és szabadidő,"A társadalmi szervezet működési körének jellege: kulturális és sporttevékenység Célja: A motoros szokások, a motorozás, mint sport kultúrájának fenntartása, motor sport tevékenység szervezése, a motor"
18202908,"""DEBRECENI SZÍNJÁTSZÓ STÚDIÓ FÜGGETLEN SZÍNHÁZ"" és Japán Kulturális Szolgáltatóközpont Közhasznú Egyesület","4031 Debrecen, Diófa utca 40. B.",művészeti szervezetek,kultúra és művészet,"Meseszínházi előadások óvodáskorúaknak, általános és középiskolai tantervhez kapcsolódó színházi előadások, irodalmi műsorok bemutatása, felsőfokú oktatáshoz kapcsolódó színházi és drámajáték foglalko"
18203136,Gyermekek Mosolyáért Egyesület,"5900 Orosháza, Szabó Dezső utca 11.",általános iskolák,oktatás,"Az ország területén családi napközik alapítása és működtetése, a családi napközik tevékenységének összefogása, szakmai felügyelete, intézményi hálózatos rendszerben való működtetése. Gyermekvédelmi és"
18203222,Százszorszép Óvoda Alapítvány,"1025 Budapest, Fajd utca 1.",óvodák,oktatás,"6.1. Segítségnyújtás a Százszorszép Óvoda 1025 Budapest, Fajd u. 1., 1024 Budapest, Fillér utca 29. és 1026 Budapest, Érmelléki u. 12. szám alatti tagóvodái mindenkori óvodásainak pozitív irányú fejlő"
18203284,Anima Musicae Kamarazenekar Egyesület,"2241 Sülysáp, Széchenyi utca 6.",művészeti szervezetek,kultúra és művészet,"- a magyar és nemzetközi klasszikus zenei hagyományok ápolása, koncertek és ismeretterjesztő előadások szervezése és lebonyolítása magyarországi és határon túli iskolákban, kulturális intézményekben -"
18203291,A Jövő Gyermekei Alapítvány,"1055 Budapest, Balaton utca 10.",hátrányos helyzetű gyerekek támogatása,szociális segítségnyújtás,"""Támogassa és segítse a Balaton utcai bölcsődébe járó gyerekek gondozását, nevelését, képességfejlesztését; mozgásszegény környezetben élő belvárosi kisgyermekek mozgásfejlesztése; esélyegyenlőség meg"
18203459,Újjászületés Rehabilitációs Alapítvány,"1172 Budapest, XIII. utca 5.",fogyatékkal élők segítése,szociális segítségnyújtás,"Gyógyult és gyógyuló daganatos betegek támogatása, egészségmegőrzés, ismeretterjesztési átképzés támogatása. Segítő kutyák kiképzése, és fogyatékossággal élő személyekhez történő eljuttatása. Terápiás"
18203590,Veszprém Fiatal Sportolóiért Alapítvány,"8200 Veszprém, Sarló utca 3.",sportklubok,sport és szabadidő,"Az alapítvány segíteni kíván a fiatal, tehetséges, veszprémi sportolókon, hogy sikeresebbé tegye a felkészüléseket, az előrelépésüket a sportpályájukon, és segítse őket az életben is, az iskolai tanul"
18203631,Mi Világunk Alapítvány,"1023 Budapest, Ürömi út 24-28. II./1.",fogyatékkal élők segítése,szociális segítségnyújtás,"Az alapítvány részt vesz az autizmussal élő gyermekek ellátásában. Kiemelt szerepet kap az autizmusban sérült szociális, kommunikációs és önszervezési készségek megfelelő módszerekkel való kompenzálás"
18203882,Rábapatyért Közhasznú Egyesület,"9641 Rábapaty, Felsőpatyi utca 92.",települési és közösségfejlesztés,szociális segítségnyújtás,"Egyesületünk célja, hogy lakóhelyünk természeti és kulturális értékeinek megóvása, hagyományainak ápolása céljából összefogja, mozgósitja Rábapaty lakosságát, alkalmat teremtvén ez által a közös ünnep"
18203978,Sokszínű Tehetséggondozásért Alapítvány,"6000 Kecskemét, Boldogasszony tér 7.",hátrányos helyzetű gyerekek támogatása,szociális segítségnyújtás,"Az alapítvány célja az általános iskolai oktatás, nevelés és tehetséggondozás személyi és tárgyi feltételeinek javítása, a pedagógusok oktató-nevelő és tehetséggondozó munkájának elismerése, a tanulók"
18204096,ÉpKézLáb Közhasznú Alapítvány a komplex fejlesztő terápiákért,"1119 Budapest, Pajkos utca 58.",egyéb gyermek egészségügy,gyermek egészségügy,"Gyermekek prevenciós, habilitációs és rehabilitációs fejlesztésének, nevelésének, oktatásának támogatása, komplex korai intervenció támogatása."
18204364,"""VAN HELYED"" A Közös Jövőnkért Alapítvány","1156 Budapest, Páskomliget utca 32. IV./19.",hátrányos helyzetű gyerekek támogatása,szociális segítségnyújtás,"A hátrányos helyzetű, szegregált lakókörnyezetben élő társadalmi csoportok társadalmi integrációjának elősegítése, képzésük, felzárkóztatásuk, dekriminalizációjuk, életminőségük javítása egyéni adotts"
18204515,Türje Jövőjéért Alapítvány,"8796 Türje, Szabadság tér 17",települési és közösségfejlesztés,szociális segítségnyújtás,"Türje község mindennapi életének segítése, fejlődésének támogatása, intézményei működésének elősegítése."
18204553,Vörösmarty Baráti Kör Egyesület,"7521 Kaposmérő, Fodor András utca 27.",egyéb szabadidős szervezetek,sport és szabadidő,"Az egyesület célja: elsődlegesen Kaposmérő község lakóinak egészséges életmód segítését célzó szolgáltatások nyújtása, helyi közművelődési tevékenység támogatása, község társadalmi életének fejlesztés"
18204591,SAARER GRUNDSCHULE Alapítvány,"2066 Szár, Rákóczi út 41.",általános iskolák,oktatás,"A szári Romhányi György Általános Iskola és tanulóinak támogatása, az iskolás gyermekek korszerű, színvonalas nevelésének támogatása, testi és szellemi képességeinek kibontakoztatását segítő nevelési "
18204986,Muszáj Természetvédelmi Koordinációs Egyesület,"9012 Győr, Halász Ödön utca 3/ D. I/1.",környezet- és természetvédelem,környezet- és állatvédelem,"Az egyesület azt tűzi ki célul, hogy a természetvédelmi szakemberek, kutatóműhelyek, civil önkéntesek és más társadalmi szervezetek bevonásával: 1. Felméri a mindenkori aktuális gyakorlati természetvé"
18205138,Napkeleti Western Lovas és Szabadidő Egyesület,"4200 Hajdúszoboszló, Kabai útfél 0338/10. hrsz.",egyéb szabadidős szervezetek,sport és szabadidő,"Lovas sport népszerűsítése, felkarolása, lovas oktatás, kiemelten gyermek- és ifjúsági korosztályban, western lovas foglalkozások tartása, lovagoltatás, gyermekek nevelése a lovak - tágabb értelemben "
18205712,Kreatív Bázis Alapítvány,"1022 Budapest, Alsó Törökvész út 1.",művészeti szervezetek,kultúra és művészet,"Az improvizációs színház, mint műfaj és forma szélesebb körű elterjesztésének támogatása Magyarországon, annak érdekében, hogy személyiségfejlesztő hatása minél többeknek elérhető legyen. A Momentán T"
18205846,Dunavecsei Mentők Alapítvány,"6088 Apostag, Arany János utca 1.",helyi mentő szervezetek,katasztrófavédelem és közbiztonság,"A Dunavecsei Mentőállomás dolgozóinak szakmai képzése, továbbtanulásának támogatása. A Mentőállomás keretein belül a betegszállítás technikai lehetőségeinek bővítése, színvonalának emelése. A mentés é"
18206036,Tündérfátyol a Beteg Gyermekekért a Rászorultakért és a Természeti Katasztrófák Áldozataiért Alapítvány,"1097 Budapest, Gubacsi út 30.",gyermekkórházak,gyermek egészségügy,"A gyógyításban, az egészség megőrzésében, visszaszerzésében a betegségek megelőzésében való közreműködés mind technikai mind anyagi segítségnyújtással. Az állam, az önkormányzatok és más fenntartók ál"
18206108,Egri Lányok és Fiúk Szabadidő és Kulturális Egyesülete,"3300 Eger, Szénáskert utca 4. 1/3.",egyéb szabadidős szervezetek,sport és szabadidő,"Az Egyesület Magyarországon működő civil szervezet, célja Magyarország kultúrájának őrzése, annak megismertetése. A magyar hagyományok tiszteletére való nevelés. Más országok kultúrájának megismerteté"
18206115,Rotary Club Kaposvár Egyesület,"7400 Kaposvár, Fő utca 53.",egyéb kulturális szervezetek,kultúra és művészet,"A magyar kultúra hagyományos értékeinek megőrzése, kulturális és emberbaráti kapcsolatok kiépítése és ápolása a nemzetközi és magyar Rotary mozgalom szellemiségét elfogadva annak tevékenységében való "
18206311,Cecei Iskoláért Alapítvány,"7013 Cece, Árpád utca 3.",általános iskolák,oktatás,"A cecei iskolás gyermekek kirándulásainak, táborozásainak támogatása. - Iskolai és iskolán kívüli rendezvényeken való részvétel támogatása; - Iskolai versenyek, vetélkedők szervezési költségeinek támo"
18206328,Arrabona Evezős Klub,"9028 Győr, Régi Veszprémi út 10.",sportklubok,sport és szabadidő,"A klub legfőbb célja az evezős sportot szeretők összefogása, az evezős sport népszerűsítése, az evezősök képviselete különböző szakmai és önkormányzati testületekben, a győri evezős hagyományok ápolás"
18206517,Nyírturáért Alapítvány,"4532 Nyírtura, Temető út 32.",települési és közösségfejlesztés,szociális segítségnyújtás,Nyírtura község fejlesztésének elősegítése és egyéb az alapító okirat szerint.
18206593,Aligai Fürdőegyesület,"8171 Balatonvilágos, Deák Ferenc utca 18.",egyéb szabadidős szervezetek,sport és szabadidő,"Üdülési feltételek fejlesztése, a Balaton használatának elősegítése."
18206627,Életmentők Kalocsai Mentőalapítvány,"6300 Kalocsa, Honvéd utca 26 A.",helyi mentő szervezetek,katasztrófavédelem és közbiztonság,"""a beteg- és mentőellátás szakmai színvonalának emelése és a lakosság jobb ellátása; sürgősségi ellátás, életmentés jobb ellátásának fejlesztése, segítése; az emberi élet mentésének szakszerűbb ellátá"
18206634,BAGázs Közhasznú Egyesület,"1137 Budapest, Szent István park 10.",rászorulók segítése,szociális segítségnyújtás,"Cigánytelepeken élők segítése, társadalmi különbségek csökkentése, készségfejlesztés alternatív pedagógiai módszerekkel, bűnmegelőzés."
18206672,Tura Egyházközségéért Alapítvány,"2194 Tura, Köztársaság utca 1.",vallási szervezetek,kultúra és művészet,"Az alapítvány célja elsősorban Tura Egyházközség egyházi célú létesítményeinek ( a római katolikus templom, a kegyhelyek, a plébánia stb.) folyamatos fenntartása, karbantartása és felújítása. További "
18206696,International Police Association Magyar Szekció Lenti Szervezete,"8960 Lenti, Petőfi út 16. Pf.91.",egyéb szabadidős szervezetek,sport és szabadidő,"Az IPA nemzetközi alapszabályán és a magyar egyesülési jogon alapulóan a legszélesebb demokratikus önkormányzati formában városi, önálló szervezeti keretet biztosítani a szervezet tagjainak. Az IPA ta"
18206933,BalmazÚjvárosi Kutya- és Ideiglenes Állatotthon Egyesület,"2484 Gárdony, Árok utca 14.",kutyák,környezet- és állatvédelem,"Balmazújváros és térségében a megfelelő állattartási kultúra módjának elterjesztése, az egész élővilág iránt felelősséget érző emberek összefogása, valamint az állatok kizsákmányolásának megszüntetése"
18206988,Alapítvány a Magyarországi Európa Akadémiáért,"1137 Budapest, Radnóti Miklós utca 2. II. emelet",szakközépiskolák,oktatás,Európai integráció szellemében történő eurokonform szakemberképzés és az európai szakképzési rendszer meghonosítása.
18207109,Csókakői Barkócaberkenye Egyesület,"8074 Csókakő, Kossuth utca 41.",művészeti szervezetek,kultúra és művészet,"A magyar néptánc hagyományainak megőrzése, nevelése és oktatása, rendezvények szervezése."
18207178,"""Dog Plusz"" Felelős Állattartók Egyesülete","8053 Bodajk, Petőfi Sándor utca 81.",kutyák,környezet- és állatvédelem,"A kulturált állattartás, ezen belül különösen a kutyatartás és háziállattartás megvalósulásának elősegítése Magyarországon, az emberek és az állatok közötti kapcsolat pozitív hatásainak kutatása, fejl"
